state_history,actions
"[[None, None], [48.0, -4.0], [47.0, -3.0], [47.0, -3.0]]","[0.0, 0.0]"
"[[48.0, -4.0], [47.0, -3.0], [47.0, -3.0], [46.0, -2.0]]","[0.0, 0.0]"
"[[47.0, -3.0], [47.0, -3.0], [46.0, -2.0], [46.0, -2.0]]","[0.0, 0.0]"
"[[47.0, -3.0], [46.0, -2.0], [46.0, -2.0], [46.0, -1.0]]","[0.0, 0.0]"
"[[46.0, -2.0], [46.0, -2.0], [46.0, -1.0], [45.0, -1.0]]","[0.0, 0.0]"
"[[46.0, -2.0], [46.0, -1.0], [45.0, -1.0], [45.0, -1.0]]","[0.0, 0.0]"
"[[46.0, -1.0], [45.0, -1.0], [45.0, -1.0], [44.0, -1.0]]","[0.0, 0.0]"
"[[45.0, -1.0], [45.0, -1.0], [44.0, -1.0], [44.0, -1.0]]","[0.0, 0.0]"
"[[45.0, -1.0], [44.0, -1.0], [44.0, -1.0], [44.0, -1.0]]","[0.0, 0.0]"
"[[44.0, -1.0], [44.0, -1.0], [44.0, -1.0], [43.0, -1.0]]","[0.0, 0.0]"
"[[44.0, -1.0], [44.0, -1.0], [43.0, -1.0], [43.0, -1.0]]","[0.0, 0.0]"
"[[44.0, -1.0], [43.0, -1.0], [43.0, -1.0], [42.0, -2.0]]","[0.0, 0.0]"
"[[43.0, -1.0], [43.0, -1.0], [42.0, -2.0], [42.0, -2.0]]","[0.0, 0.0]"
"[[43.0, -1.0], [42.0, -2.0], [42.0, -2.0], [42.0, -3.0]]","[0.0, 0.0]"
"[[42.0, -2.0], [42.0, -2.0], [42.0, -3.0], [41.0, -3.0]]","[0.0, 0.0]"
"[[42.0, -2.0], [42.0, -3.0], [41.0, -3.0], [41.0, -4.0]]","[0.0, 0.0]"
"[[42.0, -3.0], [41.0, -3.0], [41.0, -4.0], [40.0, -5.0]]","[0.0, 0.0]"
"[[41.0, -3.0], [41.0, -4.0], [40.0, -5.0], [40.0, -6.0]]","[0.0, 0.0]"
"[[41.0, -4.0], [40.0, -5.0], [40.0, -6.0], [40.0, -7.0]]","[0.0, 0.0]"
"[[40.0, -5.0], [40.0, -6.0], [40.0, -7.0], [39.0, -8.0]]","[0.0, 0.0]"
"[[40.0, -6.0], [40.0, -7.0], [39.0, -8.0], [39.0, -9.0]]","[0.0, 0.0]"
"[[40.0, -7.0], [39.0, -8.0], [39.0, -9.0], [38.0, -10.0]]","[0.0, 0.0]"
"[[39.0, -8.0], [39.0, -9.0], [38.0, -10.0], [38.0, -11.0]]","[0.0, 0.0]"
"[[39.0, -9.0], [38.0, -10.0], [38.0, -11.0], [38.0, -12.0]]","[0.0, 0.0]"
"[[38.0, -10.0], [38.0, -11.0], [38.0, -12.0], [37.0, -13.0]]","[0.0, 0.0]"
"[[38.0, -11.0], [38.0, -12.0], [37.0, -13.0], [37.0, -14.0]]","[0.0, 0.0]"
"[[38.0, -12.0], [37.0, -13.0], [37.0, -14.0], [36.0, -15.0]]","[0.0, 0.0]"
"[[37.0, -13.0], [37.0, -14.0], [36.0, -15.0], [36.0, -16.0]]","[0.0, 0.0]"
"[[37.0, -14.0], [36.0, -15.0], [36.0, -16.0], [36.0, -17.0]]","[-24.5, 0.0]"
"[[36.0, -15.0], [36.0, -16.0], [36.0, -17.0], [35.0, -18.0]]","[-91.0, -70.0]"
"[[36.0, -16.0], [36.0, -17.0], [35.0, -18.0], [35.0, -18.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [None, None], [48.0, -11.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [48.0, -11.0], [47.0, -10.0]]","[0.0, 0.0]"
"[[None, None], [48.0, -11.0], [47.0, -10.0], [47.0, -10.0]]","[0.0, 0.0]"
"[[48.0, -11.0], [47.0, -10.0], [47.0, -10.0], [46.0, -9.0]]","[0.0, 0.0]"
"[[47.0, -10.0], [47.0, -10.0], [46.0, -9.0], [46.0, -8.0]]","[0.0, 0.0]"
"[[47.0, -10.0], [46.0, -9.0], [46.0, -8.0], [46.0, -8.0]]","[0.0, 0.0]"
"[[46.0, -9.0], [46.0, -8.0], [46.0, -8.0], [45.0, -8.0]]","[0.0, 0.0]"
"[[46.0, -8.0], [46.0, -8.0], [45.0, -8.0], [45.0, -8.0]]","[0.0, 0.0]"
"[[46.0, -8.0], [45.0, -8.0], [45.0, -8.0], [44.0, -8.0]]","[0.0, 0.0]"
"[[45.0, -8.0], [45.0, -8.0], [44.0, -8.0], [44.0, -8.0]]","[0.0, 0.0]"
"[[45.0, -8.0], [44.0, -8.0], [44.0, -8.0], [44.0, -8.0]]","[0.0, 0.0]"
"[[44.0, -8.0], [44.0, -8.0], [44.0, -8.0], [43.0, -8.0]]","[0.0, 0.0]"
"[[44.0, -8.0], [44.0, -8.0], [43.0, -8.0], [43.0, -8.0]]","[0.0, 0.0]"
"[[44.0, -8.0], [43.0, -8.0], [43.0, -8.0], [42.0, -8.0]]","[0.0, 0.0]"
"[[43.0, -8.0], [43.0, -8.0], [42.0, -8.0], [42.0, -9.0]]","[0.0, 0.0]"
"[[43.0, -8.0], [42.0, -8.0], [42.0, -9.0], [42.0, -10.0]]","[0.0, 0.0]"
"[[42.0, -8.0], [42.0, -9.0], [42.0, -10.0], [41.0, -10.0]]","[0.0, 0.0]"
"[[42.0, -9.0], [42.0, -10.0], [41.0, -10.0], [41.0, -11.0]]","[0.0, 0.0]"
"[[42.0, -10.0], [41.0, -10.0], [41.0, -11.0], [40.0, -12.0]]","[0.0, 0.0]"
"[[41.0, -10.0], [41.0, -11.0], [40.0, -12.0], [40.0, -13.0]]","[0.0, 0.0]"
"[[41.0, -11.0], [40.0, -12.0], [40.0, -13.0], [40.0, -14.0]]","[0.0, 0.0]"
"[[40.0, -12.0], [40.0, -13.0], [40.0, -14.0], [39.0, -15.0]]","[0.0, 0.0]"
"[[40.0, -13.0], [40.0, -14.0], [39.0, -15.0], [39.0, -16.0]]","[0.0, 0.0]"
"[[40.0, -14.0], [39.0, -15.0], [39.0, -16.0], [38.0, -17.0]]","[0.0, 0.0]"
"[[39.0, -15.0], [39.0, -16.0], [38.0, -17.0], [38.0, -18.0]]","[0.0, 0.0]"
"[[39.0, -16.0], [38.0, -17.0], [38.0, -18.0], [38.0, -19.0]]","[0.0, 0.0]"
"[[38.0, -17.0], [38.0, -18.0], [38.0, -19.0], [37.0, -20.0]]","[0.0, 0.0]"
"[[38.0, -18.0], [38.0, -19.0], [37.0, -20.0], [37.0, -21.0]]","[0.0, 0.0]"
"[[38.0, -19.0], [37.0, -20.0], [37.0, -21.0], [36.0, -22.0]]","[0.0, 0.0]"
"[[37.0, -20.0], [37.0, -21.0], [36.0, -22.0], [36.0, -23.0]]","[0.0, 0.0]"
"[[37.0, -21.0], [36.0, -22.0], [36.0, -23.0], [36.0, -24.0]]","[-24.5, 0.0]"
"[[36.0, -22.0], [36.0, -23.0], [36.0, -24.0], [35.0, -25.0]]","[-91.0, -70.0]"
"[[36.0, -23.0], [36.0, -24.0], [35.0, -25.0], [35.0, -25.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [None, None], [48.0, 2.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [48.0, 2.0], [47.0, 2.0]]","[0.0, 0.0]"
"[[None, None], [48.0, 2.0], [47.0, 2.0], [47.0, 3.0]]","[0.0, 0.0]"
"[[48.0, 2.0], [47.0, 2.0], [47.0, 3.0], [46.0, 4.0]]","[0.0, 0.0]"
"[[47.0, 2.0], [47.0, 3.0], [46.0, 4.0], [46.0, 4.0]]","[0.0, 0.0]"
"[[47.0, 3.0], [46.0, 4.0], [46.0, 4.0], [46.0, 4.0]]","[0.0, 0.0]"
"[[46.0, 4.0], [46.0, 4.0], [46.0, 4.0], [45.0, 5.0]]","[0.0, 0.0]"
"[[46.0, 4.0], [46.0, 4.0], [45.0, 5.0], [45.0, 5.0]]","[0.0, 0.0]"
"[[46.0, 4.0], [45.0, 5.0], [45.0, 5.0], [44.0, 5.0]]","[0.0, 0.0]"
"[[45.0, 5.0], [45.0, 5.0], [44.0, 5.0], [44.0, 5.0]]","[0.0, 0.0]"
"[[45.0, 5.0], [44.0, 5.0], [44.0, 5.0], [44.0, 5.0]]","[0.0, 0.0]"
"[[44.0, 5.0], [44.0, 5.0], [44.0, 5.0], [43.0, 5.0]]","[0.0, 0.0]"
"[[44.0, 5.0], [44.0, 5.0], [43.0, 5.0], [43.0, 4.0]]","[0.0, 0.0]"
"[[44.0, 5.0], [43.0, 5.0], [43.0, 4.0], [42.0, 4.0]]","[0.0, 0.0]"
"[[43.0, 5.0], [43.0, 4.0], [42.0, 4.0], [42.0, 4.0]]","[0.0, 0.0]"
"[[43.0, 4.0], [42.0, 4.0], [42.0, 4.0], [42.0, 3.0]]","[0.0, 0.0]"
"[[42.0, 4.0], [42.0, 4.0], [42.0, 3.0], [41.0, 2.0]]","[0.0, 0.0]"
"[[42.0, 4.0], [42.0, 3.0], [41.0, 2.0], [41.0, 2.0]]","[0.0, 0.0]"
"[[42.0, 3.0], [41.0, 2.0], [41.0, 2.0], [40.0, 1.0]]","[0.0, 0.0]"
"[[41.0, 2.0], [41.0, 2.0], [40.0, 1.0], [40.0, -0.0]]","[0.0, 0.0]"
"[[41.0, 2.0], [40.0, 1.0], [40.0, -0.0], [40.0, -1.0]]","[0.0, 0.0]"
"[[40.0, 1.0], [40.0, -0.0], [40.0, -1.0], [39.0, -2.0]]","[0.0, 0.0]"
"[[40.0, -0.0], [40.0, -1.0], [39.0, -2.0], [39.0, -3.0]]","[0.0, 0.0]"
"[[40.0, -1.0], [39.0, -2.0], [39.0, -3.0], [38.0, -4.0]]","[0.0, 0.0]"
"[[39.0, -2.0], [39.0, -3.0], [38.0, -4.0], [38.0, -5.0]]","[0.0, 0.0]"
"[[39.0, -3.0], [38.0, -4.0], [38.0, -5.0], [38.0, -6.0]]","[0.0, 0.0]"
"[[38.0, -4.0], [38.0, -5.0], [38.0, -6.0], [37.0, -7.0]]","[0.0, 0.0]"
"[[38.0, -5.0], [38.0, -6.0], [37.0, -7.0], [37.0, -8.0]]","[0.0, 0.0]"
"[[38.0, -6.0], [37.0, -7.0], [37.0, -8.0], [36.0, -9.0]]","[0.0, 0.0]"
"[[37.0, -7.0], [37.0, -8.0], [36.0, -9.0], [36.0, -10.0]]","[0.0, 0.0]"
"[[37.0, -8.0], [36.0, -9.0], [36.0, -10.0], [36.0, -11.0]]","[-24.5, 0.0]"
"[[36.0, -9.0], [36.0, -10.0], [36.0, -11.0], [35.0, -12.0]]","[-91.0, -70.0]"
"[[36.0, -10.0], [36.0, -11.0], [35.0, -12.0], [35.0, -12.0]]","[0.0, 0.0]"
"[[47.0, -10.0], [47.0, -10.0], [46.0, -9.0], [46.0, -9.0]]","[0.0, 0.0]"
"[[47.0, -10.0], [46.0, -9.0], [46.0, -9.0], [46.0, -8.0]]","[0.0, 0.0]"
"[[46.0, -9.0], [46.0, -9.0], [46.0, -8.0], [45.0, -8.0]]","[0.0, 0.0]"
"[[46.0, -9.0], [46.0, -8.0], [45.0, -8.0], [45.0, -8.0]]","[0.0, 0.0]"
"[[44.0, -8.0], [43.0, -8.0], [43.0, -8.0], [42.0, -9.0]]","[0.0, 0.0]"
"[[43.0, -8.0], [43.0, -8.0], [42.0, -9.0], [42.0, -9.0]]","[0.0, 0.0]"
"[[43.0, -8.0], [42.0, -9.0], [42.0, -9.0], [42.0, -10.0]]","[0.0, 0.0]"
"[[42.0, -9.0], [42.0, -9.0], [42.0, -10.0], [41.0, -10.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [None, None], [48.0, -6.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [48.0, -6.0], [47.0, -5.0]]","[0.0, 0.0]"
"[[None, None], [48.0, -6.0], [47.0, -5.0], [47.0, -4.0]]","[0.0, 0.0]"
"[[48.0, -6.0], [47.0, -5.0], [47.0, -4.0], [46.0, -3.0]]","[0.0, 0.0]"
"[[47.0, -5.0], [47.0, -4.0], [46.0, -3.0], [46.0, -3.0]]","[0.0, 0.0]"
"[[47.0, -4.0], [46.0, -3.0], [46.0, -3.0], [46.0, -2.0]]","[0.0, 0.0]"
"[[46.0, -3.0], [46.0, -3.0], [46.0, -2.0], [45.0, -2.0]]","[0.0, 0.0]"
"[[46.0, -3.0], [46.0, -2.0], [45.0, -2.0], [45.0, -2.0]]","[0.0, 0.0]"
"[[46.0, -2.0], [45.0, -2.0], [45.0, -2.0], [44.0, -2.0]]","[0.0, 0.0]"
"[[45.0, -2.0], [45.0, -2.0], [44.0, -2.0], [44.0, -2.0]]","[0.0, 0.0]"
"[[45.0, -2.0], [44.0, -2.0], [44.0, -2.0], [44.0, -2.0]]","[0.0, 0.0]"
"[[44.0, -2.0], [44.0, -2.0], [44.0, -2.0], [43.0, -2.0]]","[0.0, 0.0]"
"[[44.0, -2.0], [44.0, -2.0], [43.0, -2.0], [43.0, -2.0]]","[0.0, 0.0]"
"[[44.0, -2.0], [43.0, -2.0], [43.0, -2.0], [42.0, -3.0]]","[0.0, 0.0]"
"[[43.0, -2.0], [43.0, -2.0], [42.0, -3.0], [42.0, -3.0]]","[0.0, 0.0]"
"[[43.0, -2.0], [42.0, -3.0], [42.0, -3.0], [42.0, -4.0]]","[0.0, 0.0]"
"[[42.0, -3.0], [42.0, -3.0], [42.0, -4.0], [41.0, -5.0]]","[0.0, 0.0]"
"[[42.0, -3.0], [42.0, -4.0], [41.0, -5.0], [41.0, -6.0]]","[0.0, 0.0]"
"[[42.0, -4.0], [41.0, -5.0], [41.0, -6.0], [40.0, -6.0]]","[0.0, 0.0]"
"[[41.0, -5.0], [41.0, -6.0], [40.0, -6.0], [40.0, -7.0]]","[0.0, 0.0]"
"[[41.0, -6.0], [40.0, -6.0], [40.0, -7.0], [40.0, -8.0]]","[0.0, 0.0]"
"[[40.0, -6.0], [40.0, -7.0], [40.0, -8.0], [39.0, -9.0]]","[0.0, 0.0]"
"[[40.0, -7.0], [40.0, -8.0], [39.0, -9.0], [39.0, -10.0]]","[0.0, 0.0]"
"[[40.0, -8.0], [39.0, -9.0], [39.0, -10.0], [38.0, -11.0]]","[0.0, 0.0]"
"[[39.0, -9.0], [39.0, -10.0], [38.0, -11.0], [38.0, -12.0]]","[0.0, 0.0]"
"[[39.0, -10.0], [38.0, -11.0], [38.0, -12.0], [38.0, -13.0]]","[0.0, 0.0]"
"[[38.0, -11.0], [38.0, -12.0], [38.0, -13.0], [37.0, -14.0]]","[0.0, 0.0]"
"[[38.0, -12.0], [38.0, -13.0], [37.0, -14.0], [37.0, -15.0]]","[0.0, 0.0]"
"[[38.0, -13.0], [37.0, -14.0], [37.0, -15.0], [36.0, -16.0]]","[0.0, 0.0]"
"[[37.0, -14.0], [37.0, -15.0], [36.0, -16.0], [36.0, -17.0]]","[0.0, 0.0]"
"[[37.0, -15.0], [36.0, -16.0], [36.0, -17.0], [36.0, -18.0]]","[-24.5, 0.0]"
"[[36.0, -16.0], [36.0, -17.0], [36.0, -18.0], [35.0, -19.0]]","[-91.0, -70.0]"
"[[36.0, -17.0], [36.0, -18.0], [35.0, -19.0], [35.0, -19.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [None, None], [48.0, -0.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [48.0, -0.0], [47.0, 1.0]]","[0.0, 0.0]"
"[[None, None], [48.0, -0.0], [47.0, 1.0], [47.0, 1.0]]","[0.0, 0.0]"
"[[48.0, -0.0], [47.0, 1.0], [47.0, 1.0], [46.0, 2.0]]","[0.0, 0.0]"
"[[47.0, 1.0], [47.0, 1.0], [46.0, 2.0], [46.0, 2.0]]","[0.0, 0.0]"
"[[47.0, 1.0], [46.0, 2.0], [46.0, 2.0], [46.0, 3.0]]","[0.0, 0.0]"
"[[46.0, 2.0], [46.0, 2.0], [46.0, 3.0], [45.0, 3.0]]","[0.0, 0.0]"
"[[46.0, 2.0], [46.0, 3.0], [45.0, 3.0], [45.0, 3.0]]","[0.0, 0.0]"
"[[46.0, 3.0], [45.0, 3.0], [45.0, 3.0], [44.0, 3.0]]","[0.0, 0.0]"
"[[45.0, 3.0], [45.0, 3.0], [44.0, 3.0], [44.0, 3.0]]","[0.0, 0.0]"
"[[45.0, 3.0], [44.0, 3.0], [44.0, 3.0], [44.0, 3.0]]","[0.0, 0.0]"
"[[44.0, 3.0], [44.0, 3.0], [44.0, 3.0], [43.0, 3.0]]","[0.0, 0.0]"
"[[44.0, 3.0], [44.0, 3.0], [43.0, 3.0], [43.0, 3.0]]","[0.0, 0.0]"
"[[44.0, 3.0], [43.0, 3.0], [43.0, 3.0], [42.0, 2.0]]","[0.0, 0.0]"
"[[43.0, 3.0], [43.0, 3.0], [42.0, 2.0], [42.0, 2.0]]","[0.0, 0.0]"
"[[43.0, 3.0], [42.0, 2.0], [42.0, 2.0], [42.0, 1.0]]","[0.0, 0.0]"
"[[42.0, 2.0], [42.0, 2.0], [42.0, 1.0], [41.0, 1.0]]","[0.0, 0.0]"
"[[42.0, 2.0], [42.0, 1.0], [41.0, 1.0], [41.0, -0.0]]","[0.0, 0.0]"
"[[42.0, 1.0], [41.0, 1.0], [41.0, -0.0], [40.0, -1.0]]","[0.0, 0.0]"
"[[41.0, 1.0], [41.0, -0.0], [40.0, -1.0], [40.0, -2.0]]","[0.0, 0.0]"
"[[41.0, -0.0], [40.0, -1.0], [40.0, -2.0], [40.0, -3.0]]","[0.0, 0.0]"
"[[40.0, -1.0], [40.0, -2.0], [40.0, -3.0], [39.0, -4.0]]","[0.0, 0.0]"
"[[40.0, -2.0], [40.0, -3.0], [39.0, -4.0], [39.0, -5.0]]","[0.0, 0.0]"
"[[40.0, -3.0], [39.0, -4.0], [39.0, -5.0], [38.0, -6.0]]","[0.0, 0.0]"
"[[39.0, -4.0], [39.0, -5.0], [38.0, -6.0], [38.0, -7.0]]","[0.0, 0.0]"
"[[39.0, -5.0], [38.0, -6.0], [38.0, -7.0], [38.0, -8.0]]","[0.0, 0.0]"
"[[38.0, -6.0], [38.0, -7.0], [38.0, -8.0], [37.0, -9.0]]","[0.0, 0.0]"
"[[38.0, -7.0], [38.0, -8.0], [37.0, -9.0], [37.0, -10.0]]","[0.0, 0.0]"
"[[38.0, -8.0], [37.0, -9.0], [37.0, -10.0], [36.0, -11.0]]","[0.0, 0.0]"
"[[37.0, -9.0], [37.0, -10.0], [36.0, -11.0], [36.0, -12.0]]","[0.0, 0.0]"
"[[37.0, -10.0], [36.0, -11.0], [36.0, -12.0], [36.0, -13.0]]","[-24.5, 0.0]"
"[[36.0, -11.0], [36.0, -12.0], [36.0, -13.0], [35.0, -14.0]]","[-91.0, -70.0]"
"[[36.0, -12.0], [36.0, -13.0], [35.0, -14.0], [35.0, -14.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [None, None], [48.0, -8.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [48.0, -8.0], [47.0, -7.0]]","[0.0, 0.0]"
"[[None, None], [48.0, -8.0], [47.0, -7.0], [47.0, -6.0]]","[0.0, 0.0]"
"[[48.0, -8.0], [47.0, -7.0], [47.0, -6.0], [46.0, -6.0]]","[0.0, 0.0]"
"[[47.0, -7.0], [47.0, -6.0], [46.0, -6.0], [46.0, -5.0]]","[0.0, 0.0]"
"[[47.0, -6.0], [46.0, -6.0], [46.0, -5.0], [46.0, -5.0]]","[0.0, 0.0]"
"[[46.0, -6.0], [46.0, -5.0], [46.0, -5.0], [45.0, -4.0]]","[0.0, 0.0]"
"[[46.0, -5.0], [46.0, -5.0], [45.0, -4.0], [45.0, -4.0]]","[0.0, 0.0]"
"[[46.0, -5.0], [45.0, -4.0], [45.0, -4.0], [44.0, -4.0]]","[0.0, 0.0]"
"[[45.0, -4.0], [45.0, -4.0], [44.0, -4.0], [44.0, -4.0]]","[0.0, 0.0]"
"[[45.0, -4.0], [44.0, -4.0], [44.0, -4.0], [44.0, -4.0]]","[0.0, 0.0]"
"[[44.0, -4.0], [44.0, -4.0], [44.0, -4.0], [43.0, -4.0]]","[0.0, 0.0]"
"[[44.0, -4.0], [44.0, -4.0], [43.0, -4.0], [43.0, -5.0]]","[0.0, 0.0]"
"[[44.0, -4.0], [43.0, -4.0], [43.0, -5.0], [42.0, -5.0]]","[0.0, 0.0]"
"[[43.0, -4.0], [43.0, -5.0], [42.0, -5.0], [42.0, -6.0]]","[0.0, 0.0]"
"[[43.0, -5.0], [42.0, -5.0], [42.0, -6.0], [42.0, -6.0]]","[0.0, 0.0]"
"[[42.0, -5.0], [42.0, -6.0], [42.0, -6.0], [41.0, -7.0]]","[0.0, 0.0]"
"[[42.0, -6.0], [42.0, -6.0], [41.0, -7.0], [41.0, -8.0]]","[0.0, 0.0]"
"[[42.0, -6.0], [41.0, -7.0], [41.0, -8.0], [40.0, -9.0]]","[0.0, 0.0]"
"[[41.0, -7.0], [41.0, -8.0], [40.0, -9.0], [40.0, -10.0]]","[0.0, 0.0]"
"[[41.0, -8.0], [40.0, -9.0], [40.0, -10.0], [40.0, -11.0]]","[0.0, 0.0]"
"[[40.0, -9.0], [40.0, -10.0], [40.0, -11.0], [39.0, -12.0]]","[0.0, 0.0]"
"[[40.0, -10.0], [40.0, -11.0], [39.0, -12.0], [39.0, -13.0]]","[0.0, 0.0]"
"[[40.0, -11.0], [39.0, -12.0], [39.0, -13.0], [38.0, -14.0]]","[0.0, 0.0]"
"[[39.0, -12.0], [39.0, -13.0], [38.0, -14.0], [38.0, -15.0]]","[0.0, 0.0]"
"[[39.0, -13.0], [38.0, -14.0], [38.0, -15.0], [38.0, -16.0]]","[0.0, 0.0]"
"[[38.0, -14.0], [38.0, -15.0], [38.0, -16.0], [37.0, -17.0]]","[0.0, 0.0]"
"[[38.0, -15.0], [38.0, -16.0], [37.0, -17.0], [37.0, -18.0]]","[0.0, 0.0]"
"[[38.0, -16.0], [37.0, -17.0], [37.0, -18.0], [36.0, -19.0]]","[0.0, 0.0]"
"[[37.0, -17.0], [37.0, -18.0], [36.0, -19.0], [36.0, -20.0]]","[0.0, 0.0]"
"[[37.0, -18.0], [36.0, -19.0], [36.0, -20.0], [36.0, -21.0]]","[-24.5, 0.0]"
"[[36.0, -19.0], [36.0, -20.0], [36.0, -21.0], [35.0, -21.0]]","[-70.0, 0.0]"
"[[36.0, -20.0], [36.0, -21.0], [35.0, -21.0], [35.0, -21.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [None, None], [48.0, -1.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [48.0, -1.0], [47.0, 0.0]]","[0.0, 0.0]"
"[[None, None], [48.0, -1.0], [47.0, 0.0], [47.0, 1.0]]","[0.0, 0.0]"
"[[48.0, -1.0], [47.0, 0.0], [47.0, 1.0], [46.0, 2.0]]","[0.0, 0.0]"
"[[47.0, 0.0], [47.0, 1.0], [46.0, 2.0], [46.0, 2.0]]","[0.0, 0.0]"
"[[47.0, 1.0], [46.0, 2.0], [46.0, 2.0], [46.0, 2.0]]","[0.0, 0.0]"
"[[46.0, 2.0], [46.0, 2.0], [46.0, 2.0], [45.0, 3.0]]","[0.0, 0.0]"
"[[46.0, 2.0], [46.0, 2.0], [45.0, 3.0], [45.0, 3.0]]","[0.0, 0.0]"
"[[46.0, 2.0], [45.0, 3.0], [45.0, 3.0], [44.0, 3.0]]","[0.0, 0.0]"
"[[44.0, 3.0], [44.0, 3.0], [43.0, 3.0], [43.0, 2.0]]","[0.0, 0.0]"
"[[44.0, 3.0], [43.0, 3.0], [43.0, 2.0], [42.0, 2.0]]","[0.0, 0.0]"
"[[43.0, 3.0], [43.0, 2.0], [42.0, 2.0], [42.0, 2.0]]","[0.0, 0.0]"
"[[43.0, 2.0], [42.0, 2.0], [42.0, 2.0], [42.0, 1.0]]","[0.0, 0.0]"
"[[42.0, 2.0], [42.0, 2.0], [42.0, 1.0], [41.0, 0.0]]","[0.0, 0.0]"
